stock_symbol,company_name,stock_code,sector,subsector,mkt,chg,exchange
AFFIN,AFFIN BANK BERHAD,5185,BANKING,FINANCIAL SERVICES,Main Market,<span class='down fw-bold'>-0.14</span>,Bursa
AFUJIYA,ABM FUJIYA BERHAD,5198,AUTO PARTS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AGES,AGESON BERHAD,7145,CONSTRUCTION,CONSTRUCTION,Main Market,<span class='down fw-bold'>-0.005</span>,Bursa
AGES-OR,AGESON BERHAD - ORDINARY RIGHTS,7145OR,CONSTRUCTION,CONSTRUCTION,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AGES-PA,,7145PA,CONSTRUCTION,CONSTRUCTION,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AGMO,AGMO HOLDINGS BERHAD,0258,SOFTWARE,TECHNOLOGY,Ace Market,<span class='up fw-bold'>0.00</span>,Bursa
AGRICOR,AGRICORE CS HOLDINGS BERHAD,0309,FOOD& BEVERAGES,CONSUMER PRODUCTS & SERVICES,Ace Market,<span class='down fw-bold'>-0.01</span>,Bursa
AGX,AGX GROUP BERHAD,0299,TRANSPORTATION & LOGISTICS SERVICES,TRANSPORTATION & LOGISTICS,Ace Market,<span class='down fw-bold'>-0.01</span>,Bursa
AHB,AHB HOLDINGS BHD,7315,CONSUMER SERVICES,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AHEALTH,APEX HEALTHCARE BHD,7090,PHARMACEUTICALS,HEALTH CARE,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AIM,ADVANCE INFORMATION MARKETING,0122,INDUSTRIAL SERVICES,INDUSTRIAL PRODUCTS & SERVICES,Ace Market,<span class='up fw-bold'>+0.005</span>,Bursa
AIMFLEX,AIMFLEX BERHAD,0209,TECHNOLOGY EQUIPMENT,TECHNOLOGY,Ace Market,<span class='down fw-bold'>-0.005</span>,Bursa
AIRASIA-LR,AIRASIA GROUP BERHAD - LOAN RIGHTS,5099LR,"TRAVEL, LEISURE & HOSPITALITY",CONSUMER PRODUCTS & SERVICES,Bonds/Loans,<span class='down fw-bold'>-0.005</span>,Bursa
AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD,5014,TRANSPORTATION & LOGISTICS SERVICES,TRANSPORTATION & LOGISTICS,Main Market,<span class='down fw-bold'>-0.08</span>,Bursa
AIZO,AIZO GROUP BERHAD,7219,BUILDING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.005</span>,Bursa
AIZO-PA,,7219PA,BUILDING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.005</span>,Bursa
AJI,AJINOMOTO (M) BHD,2658,FOOD& BEVERAGES,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.04</span>,Bursa
AJIYA,AJIYA BHD,7609,BUILDING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>+0.02</span>,Bursa
ALAM,ALAM MARITIM RESOURCES BHD,5115,"ENERGY INFRASTRUCTURE, EQUIPMENT & SERVICES",ENERGY,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ALAQAR,AL-AQAR HEALTHCARE REIT,5116,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,Main Market,<span class='down fw-bold'>-0.02</span>,Bursa
ALCOM,ALCOM GROUP BERHAD,2674,METALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.025</span>,Bursa
ALIBABA-C33,,058233,,,,<span class='up fw-bold'>0.00</span>,Bursa
ALLIANZ,ALLIANZ MALAYSIA BHD,1163,INSURANCE,FINANCIAL SERVICES,Main Market,<span class='down fw-bold'>-0.10</span>,Bursa
ALLIANZ-PA,ALLIANZ MALAYSIA BHD-ICPS,1163PA,INSURANCE,FINANCIAL SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ALPHA,ALPHA IVF GROUP BERHAD,0303,HEALTH CARE PROVIDERS,HEALTH CARE,Ace Market,<span class='up fw-bold'>0.00</span>,Bursa
ALRICH,ALDRICH RESOURCES BERHAD,0079,SOFTWARE,TECHNOLOGY,Ace Market,<span class='up fw-bold'>0.00</span>,Bursa
ALSREIT,AL-SALAM REAL ESTATE INVESTMENT TRUST,5269,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AMBANK,AMMB HOLDINGS BHD,1015,BANKING,FINANCIAL SERVICES,Main Market,<span class='down fw-bold'>-0.15</span>,Bursa
AME,AME ELITE CONSORTIUM BERHAD,5293,CONSTRUCTION,CONSTRUCTION,Main Market,<span class='down fw-bold'>-0.03</span>,Bursa
AMEREIT,AME REAL ESTATE INVESTMENT TRUST,5307,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AMFIRST,AMFIRST REITS,5120,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AMLEX,AMLEX HOLDINGS BERHAD,03011,SEMICONDUCTORS,TECHNOLOGY,LEAP Market,<span class='up fw-bold'>0.00</span>,Bursa
AMPROP,AMCORP PROPERTIES BERHAD,1007,PROPERTY,PROPERTY,Main Market,<span class='up fw-bold'>+0.005</span>,Bursa
AMTEL,AMTEL HOLDINGS BHD,7031,TELECOMMUNICATIONS EQUIPMENT,TELECOMMUNICATIONS & MEDIA,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AMWAY,AMWAY (M) HOLDINGS BHD,6351,RETAILERS,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.04</span>,Bursa
ANALABS,ANALABS RESOURCES BHD,7083,INDUSTRIAL SERVICES,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ANCOMLB,ANCOM LOGISTICS BERHAD,0048,TRANSPORTATION & LOGISTICS SERVICES,TRANSPORTATION & LOGISTICS,Ace Market,<span class='up fw-bold'>0.00</span>,Bursa
ANCOMNY,ANCOM NYLEX BERHAD,4758,CHEMICALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ANEKA,ANEKA JARINGAN HOLDINGS BERHAD,0226,CONSTRUCTION,CONSTRUCTION,Ace Market,<span class='up fw-bold'>0.00</span>,Bursa
ANNJOO,ANN JOO RESOURCES BHD,6556,METALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.025</span>,Bursa
ANNJOO-PA,,6556PA,METALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ANNUM,ANNUM BERHAD,5082,WOOD & WOOD PRODUCTS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>+0.005</span>,Bursa
ANNUM-OR,ANNUM BERHAD - ORDINARY RIGHTS,5082OR,WOOD & WOOD PRODUCTS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ANZO,ANZO HOLDINGS BERHAD,9342,WOOD & WOOD PRODUCTS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AORB,ALPHA OCEAN RESOURCES BERHAD,03051,AGRICULTURAL PRODUCTS,CONSUMER PRODUCTS & SERVICES,LEAP Market,<span class='up fw-bold'>0.00</span>,Bursa
APB,APB RESOURCES BHD,5568,INDUSTRIAL ENGINEERING,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.02</span>,Bursa
