stock_symbol,company_name,stock_code,sector,subsector,mkt,chg,exchange
Alibaba AutocallSG240903,,WGX,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba AutocallSG241003,,EEJ,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba AutocallSG250402,,5YZ,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba DiscountSG240517,,VID,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW220302,,ZKDW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba MB eCW220404,,THVW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba MB eCW220705,,9BXW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba MB eCW221004,,HIMW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba MB eCW221102,,MFPW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba MB eCW230302,,GBFW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW230404,,PYQW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW230503,,QOWW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW230802,,WJGW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW231004,,UQQW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW231102,,VMPW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW240304,,R85W,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW240403,,V0QW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW240503,,9D2W,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW240603,,9JIW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW240703,,9KMW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW240802,,YS6W,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB eCW241104,,ULXW,,,Mainboard,<span class='up fw-bold'>+0.156</span>,SGX
Alibaba MB eCW241203,,Y5AW,,,Mainboard,<span class='up fw-bold'>+0.011</span>,SGX
Alibaba MB eCW250402,,IKQW,,,Mainboard,<span class='up fw-bold'>+0.025</span>,SGX
Alibaba MB eCW250603,,EMJW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB ePW220302,,XDSW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba MB ePW220404,,LBHW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba MB ePW220705,,YQOW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba MB ePW221202,,XXMW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba MB ePW230404,,MMXW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB ePW230802,,XS1W,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB ePW231004,,LYNW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB ePW240503,,GSPW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB ePW241003,,9H3W,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB ePW241203,,47GW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba MB ePW250603,,KDNW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba90 MB ePW221202,,V8RW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alita Resources,Alita Resources Ltd,40F,,Mining and Quarrying,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Alliance HC,Alliance Healthcare Group Ltd,MIJ,,Health and Social Services,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Allied Tech,,A13,,Manufacturing,Catalist,<span class='up fw-bold'></span>,SGX
AlphaDX,Alpha DX Group Ltd,VVL,,Information and Communications,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Alpina Holdings,Alpina Holdings Ltd,ZXY,,Financial and Insurance Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Alset,Alset International Ltd,40V,,Financial and Insurance Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Amara,Amara Holdings Ltd,A34,,Accommodation and Food Service Activities,Mainboard,<span class='up fw-bold'>+0.005</span>,SGX
Amcorp Global,Amcorp Global Ltd,S9B,,Real Estate Activities,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Amplefield Ltd,Amplefield Ltd,AOF,,"Professional, Scientific and Technical Activities",Catalist,<span class='up fw-bold'>0.00</span>,SGX
Amplefield Ltd W221216,,1G7W,,,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AnAn Intl,AnAn International Ltd,Y35,,Wholesale and Retail Trade,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Anchun Intl,Anchun International Holdings Ltd,BTX,,Manufacturing,Mainboard,<span class='up fw-bold'>+0.015</span>,SGX
AnnAik,Annaik Ltd,A52,,Wholesale and Retail Trade,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AnnAik W241009,,VAIW,,,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Annica,Annica Holdings Ltd,5AL,,Manufacturing,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Aoxin Q & M,Aoxin Q & M Dental Group Ltd,1D4,,Health and Social Services,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Arion Ent,Arion Entertainment Singapore Ltd,YYB,,Financial and Insurance Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AscendasReit MBeCW220315,,FDPW,,,Mainboard,<span class='up fw-bold'></span>,SGX
AscendasReit MBeCW221101,,HHKW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Ascent Bridge,Ascent Bridge Ltd,AWG,,Manufacturing,Mainboard,<span class='down fw-bold'>-0.001</span>,SGX
Asia Enterprises,Asia Enterprises Holding Ltd,A55,,Manufacturing,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Asia Vets,Asia Vets Holdings Ltd,5RE,,Financial and Insurance Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AsiaMedic,AsiaMedic Ltd,505,,Health and Social Services,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AsiaPhos,AsiaPhos Ltd,5WV,,Mining and Quarrying,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AsiaPhos R,,VVQR,,Mining and Quarrying,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AsiaPhos R1,,98XR,,Mining and Quarrying,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Asian Healthcare,Asian Healthcare Specialists Ltd,1J3,,Health and Social Services,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Asian Micro,Asian Micro Holdings Ltd,585,,Wholesale and Retail Trade,Catalist,<span class='down fw-bold'>-0.001</span>,SGX
Asian Pay Tv Tr,,S7OU,,Information and Communications,Mainboard,<span class='up fw-bold'>+0.001</span>,SGX
Asiatic,Asiatic Group (Holdings) Ltd,5CR,,Manufacturing,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Asiatravel.com,,5AM,,Administrative and Support Service Activities,Catalist,<span class='up fw-bold'></span>,SGX
Aspen,Aspen (Group) Holdings Ltd,1F3,,Real Estate Activities,Mainboard,<span class='down fw-bold'>-0.001</span>,SGX
Aspial Corp,Aspial Corporation Ltd,A30,,Wholesale and Retail Trade,Mainboard,<span class='down fw-bold'>-0.001</span>,SGX
Aspial Lifestyle,Aspial Lifestyle Ltd,5UF,,Wholesale and Retail Trade,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Astaka,Astaka Holdings Ltd,42S,,Real Estate Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Astrea IV4.35%B280614#,,RMRB,,,Mainboard,<span class='up fw-bold'></span>,SGX
Astrea V3.85%B290620#,,5A1B,,,Mainboard,<span class='up fw-bold'></span>,SGX
Astrea VI3%B310318#,,6AZB,,,Mainboard,<span class='up fw-bold'></span>,SGX
Astrea7A1 4.125%320527#,,V7AB,,,Mainboard,<span class='up fw-bold'></span>,SGX
Astrea7B 6%320527#,,V7BB,,,Mainboard,<span class='up fw-bold'></span>,SGX
Astrea8A1 4.35%390719#,,Z1AB,,,Mainboard,<span class='up fw-bold'></span>,SGX
Astrea8A2 6.35%390719#,,Z2AB,,,Mainboard,<span class='up fw-bold'></span>,SGX
Atlantic Nav,Atlantic Navigation Holdings (Singapore) Ltd,5UL,,Mining and Quarrying,Catalist,<span class='down fw-bold'>-0.005</span>,SGX
Audience,Audience Analytics Ltd,1AZ,,Information and Communications,Catalist,<span class='up fw-bold'>+0.005</span>,SGX
AusGroup,AusGroup Ltd,5GJ,,Manufacturing,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Avarga,Avarga Ltd,U09,,Manufacturing,Mainboard,<span class='up fw-bold'>+0.005</span>,SGX
Avi-Tech Hldg,Avi-Tech Holdings Ltd,1R6,,Financial and Insurance Activities,Mainboard,<span class='up fw-bold'>+0.01</span>,SGX
Axington,Axington Inc,42U,,"Professional, Scientific and Technical Activities",Catalist,<span class='up fw-bold'>0.00</span>,SGX
Axington Inc.,,XHV,,"Professional, Scientific and Technical Activities",Catalist,<span class='up fw-bold'>0.00</span>,SGX
Axington R,,IXOR,,"Professional, Scientific and Technical Activities",Catalist,<span class='up fw-bold'>0.00</span>,SGX
Axington R1,,QPQR,,"Professional, Scientific and Technical Activities",Catalist,<span class='up fw-bold'>0.00</span>,SGX
Azeus,Azeus Systems Holdings Ltd,BBW,,Information and Communications,Mainboard,<span class='down fw-bold'>-0.02</span>,SGX
Aztech Gbl,Aztech Global Ltd,8AZ,,Manufacturing,Mainboard,<span class='up fw-bold'>+0.01</span>,SGX
B&M Hldg,British and Malayan Trustees Ltd,CJN,,Other Service Activities,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BBR,BBR Holdings (S) Ltd,KJ5,,Construction,Mainboard,<span class='down fw-bold'>-0.001</span>,SGX
BH Global,BH Global Corporation Ltd,BQN,,Wholesale and Retail Trade,Mainboard,<span class='up fw-bold'>+0.006</span>,SGX
BHG Retail Reit,BHG Retail REIT,BMGU,,Real Estate Activities,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BIDU ADR US$+,,K3SD,,Information and Communications,Global Quote,<span class='up fw-bold'>0.00</span>,SGX
BRC Asia,BRC Asia Ltd,BEC,,Manufacturing,Mainboard,<span class='up fw-bold'>+0.01</span>,SGX
BYD 5xLongSG220315,,DJFW,,,Mainboard,<span class='up fw-bold'></span>,SGX
BYD 5xLongSG230202,,DLCW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xLongSG230803,,DLFW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xLongSG230914,,DLGW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xLongSG231012,,DINW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xLongSG231220,,DNPW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xLongSG250116,,DQUW,,,Mainboard,<span class='up fw-bold'>+0.017</span>,SGX
BYD 5xLongSG250626,,DEVW,,,Mainboard,<span class='up fw-bold'>+0.04</span>,SGX
BYD 5xLongSG250904,,DKOW,,,Mainboard,<span class='up fw-bold'>+0.08</span>,SGX
BYD 5xLongSG251216,,VLSW,,,Mainboard,<span class='up fw-bold'>+0.418</span>,SGX
BYD 5xLongUB241231,,QFYW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xLongUB250321,,FOFW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xLongUB250430,,NUIW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xLongUB250930,,EPVW,,,Mainboard,<span class='up fw-bold'>+0.059</span>,SGX
BYD 5xShortSG220216,,DKJW,,,Mainboard,<span class='up fw-bold'></span>,SGX
BYD 5xShortSG221115,,MHLW,,,Mainboard,<span class='up fw-bold'></span>,SGX
BYD 5xShortSG230202,,DZWW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xShortSG230620,,DDTW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xShortSG230914,,DMMW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xShortSG231012,,DFYW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xShortSG231214,,DTHW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xShortSG240205,,DGYW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
BYD 5xShortSG241209,,DWOW,,,Mainboard,<span class='down fw-bold'>-0.024</span>,SGX
BYD 5xShortUB241231,,VJLW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
